track_id,genre,filepath
67360,Pop,data/fma_small/067/067360.mp3
127296,Pop,data/fma_small/127/127296.mp3
48453,Pop,data/fma_small/048/048453.mp3
86118,Pop,data/fma_small/086/086118.mp3
85427,Pop,data/fma_small/085/085427.mp3
7528,Pop,data/fma_small/007/007528.mp3
85599,Pop,data/fma_small/085/085599.mp3
49477,Pop,data/fma_small/049/049477.mp3
79741,Pop,data/fma_small/079/079741.mp3
17344,Pop,data/fma_small/017/017344.mp3
113028,Pop,data/fma_small/113/113028.mp3
148612,Pop,data/fma_small/148/148612.mp3
122499,Pop,data/fma_small/122/122499.mp3
127181,Pop,data/fma_small/127/127181.mp3
39667,Pop,data/fma_small/039/039667.mp3
113025,Pop,data/fma_small/113/113025.mp3
57178,Pop,data/fma_small/057/057178.mp3
135338,Pop,data/fma_small/135/135338.mp3
11199,Pop,data/fma_small/011/011199.mp3
11200,Pop,data/fma_small/011/011200.mp3
7529,Pop,data/fma_small/007/007529.mp3
70873,Pop,data/fma_small/070/070873.mp3
85953,Pop,data/fma_small/085/085953.mp3
113020,Pop,data/fma_small/113/113020.mp3
148285,Pop,data/fma_small/148/148285.mp3
127303,Pop,data/fma_small/127/127303.mp3
21231,Pop,data/fma_small/021/021231.mp3
54665,Pop,data/fma_small/054/054665.mp3
121593,Pop,data/fma_small/121/121593.mp3
92129,Pop,data/fma_small/092/092129.mp3
16163,Pop,data/fma_small/016/016163.mp3
127915,Pop,data/fma_small/127/127915.mp3
120208,Pop,data/fma_small/120/120208.mp3
127302,Pop,data/fma_small/127/127302.mp3
127188,Pop,data/fma_small/127/127188.mp3
121591,Pop,data/fma_small/121/121591.mp3
132793,Pop,data/fma_small/132/132793.mp3
108457,Pop,data/fma_small/108/108457.mp3
84817,Pop,data/fma_small/084/084817.mp3
10806,Pop,data/fma_small/010/010806.mp3
59451,Pop,data/fma_small/059/059451.mp3
11937,Pop,data/fma_small/011/011937.mp3
144940,Pop,data/fma_small/144/144940.mp3
85422,Pop,data/fma_small/085/085422.mp3
104780,Pop,data/fma_small/104/104780.mp3
67363,Pop,data/fma_small/067/067363.mp3
127183,Pop,data/fma_small/127/127183.mp3
56249,Pop,data/fma_small/056/056249.mp3
127278,Pop,data/fma_small/127/127278.mp3
57439,Pop,data/fma_small/057/057439.mp3
32335,Pop,data/fma_small/032/032335.mp3
153956,Pop,data/fma_small/153/153956.mp3
61670,Pop,data/fma_small/061/061670.mp3
109975,Pop,data/fma_small/109/109975.mp3
149103,Pop,data/fma_small/149/149103.mp3
109976,Pop,data/fma_small/109/109976.mp3
121590,Pop,data/fma_small/121/121590.mp3
27805,Pop,data/fma_small/027/027805.mp3
51268,Pop,data/fma_small/051/051268.mp3
45128,Pop,data/fma_small/045/045128.mp3
122804,Pop,data/fma_small/122/122804.mp3
30488,Pop,data/fma_small/030/030488.mp3
149102,Pop,data/fma_small/149/149102.mp3
124474,Pop,data/fma_small/124/124474.mp3
62750,Pop,data/fma_small/062/062750.mp3
12376,Pop,data/fma_small/012/012376.mp3
153383,Pop,data/fma_small/153/153383.mp3
41381,Pop,data/fma_small/041/041381.mp3
148289,Pop,data/fma_small/148/148289.mp3
67357,Pop,data/fma_small/067/067357.mp3
61736,Pop,data/fma_small/061/061736.mp3
52039,Pop,data/fma_small/052/052039.mp3
46842,Pop,data/fma_small/046/046842.mp3
132778,Pop,data/fma_small/132/132778.mp3
67362,Pop,data/fma_small/067/067362.mp3
21401,Pop,data/fma_small/021/021401.mp3
47895,Pop,data/fma_small/047/047895.mp3
85426,Pop,data/fma_small/085/085426.mp3
55289,Pop,data/fma_small/055/055289.mp3
132794,Pop,data/fma_small/132/132794.mp3
70878,Pop,data/fma_small/070/070878.mp3
148606,Pop,data/fma_small/148/148606.mp3
86119,Pop,data/fma_small/086/086119.mp3
